technode, 14, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 3.01145e-05, PE_bus , 2.19798e-06, PE_Addertree , 3.67481e-09, PE_buffer , 2.46742e-07, PE_total , 2.44839e-06, PE_leakage , 1.84673e-05, Tile_Leakage , 0.000169237, Tile_htree , 6.62752e-06, Tile_addertree , 4.39736e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 7.55986e-08, Tile_total , 7.14286e-06, Chip_buffer , 1.62278e-08, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.06631e-08, Chip_maxpool , 9.49709e-12, Chip_total , 2.69004e-08, Total dynamic , 4.18758e-05, Total leakage , 2.12041e-06, 
technode, 10, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 2.32161e-05, PE_bus , 1.38445e-06, PE_Addertree , 3.02984e-09, PE_buffer , 2.03309e-07, PE_total , 1.59079e-06, PE_leakage , 2.05857e-05, Tile_Leakage , 0.000188284, Tile_htree , 4.30625e-06, Tile_addertree , 3.62557e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 6.22913e-08, Tile_total , 4.73109e-06, Chip_buffer , 1.33713e-08, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 8.78612e-09, Chip_maxpool , 8.12613e-12, Chip_total , 2.21655e-08, Total dynamic , 3.0935e-05, Total leakage , 2.2163e-06, 
technode, 7, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 1.93105e-05, PE_bus , 1.11642e-06, PE_Addertree , 2.68942e-09, PE_buffer , 1.7971e-07, PE_total , 1.29882e-06, PE_leakage , 2.25115e-05, Tile_Leakage , 0.000205722, Tile_htree , 3.26171e-06, Tile_addertree , 3.21815e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 5.50609e-08, Tile_total , 3.63859e-06, Chip_buffer , 1.18192e-08, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 7.76629e-09, Chip_maxpool , 5.00482e-12, Chip_total , 1.95905e-08, Total dynamic , 2.53e-05, Total leakage , 2.3656e-06, 
technode, 5, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 1.59452e-05, PE_bus , 9.50332e-07, PE_Addertree , 2.19906e-09, PE_buffer , 1.45261e-07, PE_total , 1.09779e-06, PE_leakage , 2.15462e-05, Tile_Leakage , 0.000196986, Tile_htree , 2.86657e-06, Tile_addertree , 2.63141e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 4.45062e-08, Tile_total , 3.17422e-06, Chip_buffer , 9.55357e-09, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 6.27755e-09, Chip_maxpool , 4.30716e-12, Chip_total , 1.58354e-08, Total dynamic , 2.11346e-05, Total leakage , 2.07878e-06, 
technode, 3, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 1.46622e-05, PE_bus , 9.14129e-07, PE_Addertree , 1.9304e-09, PE_buffer , 1.2869e-07, PE_total , 1.04475e-06, PE_leakage , 2.21462e-05, Tile_Leakage , 0.000202319, Tile_htree , 2.69756e-06, Tile_addertree , 2.30989e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 3.94291e-08, Tile_total , 2.96798e-06, Chip_buffer , 8.46374e-09, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 5.56144e-09, Chip_maxpool , 3.57809e-12, Chip_total , 1.40288e-08, Total dynamic , 1.95321e-05, Total leakage , 2.125e-06, 
technode, 2, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 1.32174e-05, PE_bus , 7.54656e-07, PE_Addertree , 1.21177e-09, PE_buffer , 6.03659e-08, PE_total , 8.16234e-07, PE_leakage , 1.93942e-05, Tile_Leakage , 0.000176622, Tile_htree , 2.47055e-06, Tile_addertree , 1.44998e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.84953e-08, Tile_total , 2.63404e-06, Chip_buffer , 3.97016e-09, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 2.60875e-09, Chip_maxpool , 2.75594e-12, Chip_total , 6.58166e-09, Total dynamic , 1.74377e-05, Total leakage , 1.82905e-06, 
technode, 1, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 9.16417e-06, PE_bus , 6.01233e-07, PE_Addertree , 8.60549e-10, PE_buffer , 5.65177e-08, PE_total , 6.58611e-07, PE_leakage , 2.74446e-05, Tile_Leakage , 0.00024925, Tile_htree , 1.75023e-06, Tile_addertree , 1.0297e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.73163e-08, Tile_total , 1.87052e-06, Chip_buffer , 3.71707e-09, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 2.44245e-09, Chip_maxpool , 1.94563e-12, Chip_total , 6.16147e-09, Total dynamic , 1.22396e-05, Total leakage , 2.4319e-06, 
technode, 22, toggleindex, 0, subarray_selfleakage , 5.70213e-08, PE_selfleakage , 9.12341e-07, Tile_selfleakage, 3.64937e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 7.21302e-05, PE_bus , 1.05428e-05, PE_Addertree , 1.25818e-08, PE_buffer , 3.8075e-07, PE_total , 1.09361e-05, PE_leakage , 0.000191015, Tile_Leakage , 0.00172592, Tile_htree , 3.261e-05, Tile_addertree , 1.4143e-06, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.07331e-07, Tile_total , 3.41316e-05, Chip_buffer , 2.0317e-08, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.33501e-08, Chip_maxpool , 1.55003e-11, Chip_total , 3.36826e-08, Total dynamic , 0.000126128, Total leakage , 1.90306e-05, 
technode, 14, toggleindex, 0, subarray_selfleakage , 8.11032e-08, PE_selfleakage , 1.29765e-06, Tile_selfleakage, 5.19061e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 3.50196e-05, PE_bus , 9.20363e-06, PE_Addertree , 4.79915e-09, PE_buffer , 3.04117e-07, PE_total , 9.51255e-06, PE_leakage , 0.000122904, Tile_Leakage , 0.00111037, Tile_htree , 4.73326e-05, Tile_addertree , 5.3942e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 8.57281e-08, Tile_total , 4.79577e-05, Chip_buffer , 1.62278e-08, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.06631e-08, Chip_maxpool , 9.49709e-12, Chip_total , 2.69004e-08, Total dynamic , 0.000100088, Total leakage , 1.21356e-05, 
technode, 10, toggleindex, 0, subarray_selfleakage , 9.34467e-08, PE_selfleakage , 1.49515e-06, Tile_selfleakage, 5.98059e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 2.69042e-05, PE_bus , 5.25578e-06, PE_Addertree , 3.95684e-09, PE_buffer , 2.50584e-07, PE_total , 5.51032e-06, PE_leakage , 0.00013678, Tile_Leakage , 0.00123513, Tile_htree , 2.29482e-05, Tile_addertree , 4.44745e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 7.06378e-08, Tile_total , 2.34636e-05, Chip_buffer , 1.33713e-08, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 8.78612e-09, Chip_maxpool , 8.12613e-12, Chip_total , 2.21655e-08, Total dynamic , 6.04786e-05, Total leakage , 1.18639e-05, 
technode, 7, toggleindex, 0, subarray_selfleakage , 8.91539e-08, PE_selfleakage , 1.42646e-06, Tile_selfleakage, 5.70585e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 2.41533e-05, PE_bus , 3.7068e-06, PE_Addertree , 3.5122e-09, PE_buffer , 2.21498e-07, PE_total , 3.93181e-06, PE_leakage , 0.000166883, Tile_Leakage , 0.00150614, Tile_htree , 1.18948e-05, Tile_addertree , 3.94764e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 6.24386e-08, Tile_total , 1.2352e-05, Chip_buffer , 1.18192e-08, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 7.76629e-09, Chip_maxpool , 5.00482e-12, Chip_total , 1.95905e-08, Total dynamic , 4.36906e-05, Total leakage , 1.29037e-05, 
technode, 5, toggleindex, 0, subarray_selfleakage , 8.53826e-08, PE_selfleakage , 1.36612e-06, Tile_selfleakage, 5.46448e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 2.02398e-05, PE_bus , 3.02011e-06, PE_Addertree , 2.87185e-09, PE_buffer , 1.79039e-07, PE_total , 3.20202e-06, PE_leakage , 0.00015541, Tile_Leakage , 0.00140283, Tile_htree , 9.77423e-06, Tile_addertree , 3.22791e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 5.04696e-08, Tile_total , 1.01475e-05, Chip_buffer , 9.55357e-09, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 6.27755e-09, Chip_maxpool , 4.30716e-12, Chip_total , 1.58354e-08, Total dynamic , 3.62605e-05, Total leakage , 1.03342e-05, 
technode, 3, toggleindex, 0, subarray_selfleakage , 8.86929e-08, PE_selfleakage , 1.41909e-06, Tile_selfleakage, 5.67635e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 1.83705e-05, PE_bus , 2.68784e-06, PE_Addertree , 2.52095e-09, PE_buffer , 1.58615e-07, PE_total , 2.84898e-06, PE_leakage , 0.000172123, Tile_Leakage , 0.0015532, Tile_htree , 8.56956e-06, Tile_addertree , 2.83348e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 4.47123e-08, Tile_total , 8.89762e-06, Chip_buffer , 8.46374e-09, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 5.56144e-09, Chip_maxpool , 3.57809e-12, Chip_total , 1.40288e-08, Total dynamic , 3.24577e-05, Total leakage , 9.79449e-06, 
technode, 2, toggleindex, 0, subarray_selfleakage , 5.6362e-08, PE_selfleakage , 9.01793e-07, Tile_selfleakage, 3.60717e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 9.73311e-06, PE_bus , 1.90018e-06, PE_Addertree , 1.58247e-09, PE_buffer , 7.44028e-08, PE_total , 1.97616e-06, PE_leakage , 0.000123023, Tile_Leakage , 0.00110997, Tile_htree , 6.39989e-06, Tile_addertree , 1.77864e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 2.09736e-08, Tile_total , 6.59873e-06, Chip_buffer , 3.97016e-09, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 2.60875e-09, Chip_maxpool , 2.75594e-12, Chip_total , 6.58166e-09, Total dynamic , 2.00514e-05, Total leakage , 4.69157e-06, 
technode, 1, toggleindex, 0, subarray_selfleakage , 9.21516e-08, PE_selfleakage , 1.47442e-06, Tile_selfleakage, 5.8977e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 7.12254e-06, PE_bus , 1.39264e-06, PE_Addertree , 1.12379e-09, PE_buffer , 6.96598e-08, PE_total , 1.46342e-06, PE_leakage , 0.000166622, Tile_Leakage , 0.00150272, Tile_htree , 4.58271e-06, Tile_addertree , 1.26309e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.96366e-08, Tile_total , 4.72866e-06, Chip_buffer , 3.71707e-09, Chip_htree , 0, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 2.44245e-09, Chip_maxpool , 1.94563e-12, Chip_total , 6.16147e-09, Total dynamic , 1.45635e-05, Total leakage , 5.8198e-06, 
technode, 22, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 795340, Macrototaldynamic , 5.7796e-05, PE_bus , 4.31512e-06, PE_Addertree , 5.81184e-07, PE_buffer , 2.07701e-07, PE_total , 5.10401e-06, PE_leakage , 2.4421e-06, Tile_Leakage , 0, Tile_htree , 3.84494e-06, Tile_addertree , 3.22071e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 2.23282e-07, Tile_total , 4.09055e-06, Chip_buffer , 7.05304e-08, Chip_htree , 0, Chip_addertree , 1.14499e-08, Chip_sigmoid , 0, Chip_ReLU , 1.85529e-08, Chip_maxpool , 1.55003e-11, Chip_total , 1.00549e-07, Total dynamic , 7.75395e-05, Total leakage , 3.68201e-07, 
