technode, 22, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 3.83485e-05, PE_bus , 2.9526e-06, PE_Addertree , 9.63298e-09, PE_buffer , 3.08918e-07, PE_total , 3.27115e-06, PE_leakage , 6.55522e-06, Tile_Leakage , 6.42443e-05, Tile_htree , 1.25079e-05, Tile_addertree , 1.15286e-06, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 9.46485e-08, Tile_total , 1.37554e-05, Chip_buffer , 2.0317e-08, Chip_htree , 1.32184e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.33501e-08, Chip_maxpool , 1.55003e-11, Chip_total , 1.3252e-05, Total dynamic , 6.86223e-05, Total leakage , 1.14677e-06, 
technode, 14, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 3.00097e-05, PE_bus , 2.19798e-06, PE_Addertree , 3.67481e-09, PE_buffer , 2.46742e-07, PE_total , 2.44839e-06, PE_leakage , 1.84673e-05, Tile_Leakage , 0.000169237, Tile_htree , 8.9115e-06, Tile_addertree , 4.39736e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 7.55986e-08, Tile_total , 9.42683e-06, Chip_buffer , 1.62278e-08, Chip_htree , 9.43424e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.06631e-08, Chip_maxpool , 9.49709e-12, Chip_total , 9.46114e-06, Total dynamic , 5.13442e-05, Total leakage , 2.94267e-06, 
technode, 10, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 2.31156e-05, PE_bus , 1.38445e-06, PE_Addertree , 3.02984e-09, PE_buffer , 2.03309e-07, PE_total , 1.59079e-06, PE_leakage , 2.05857e-05, Tile_Leakage , 0.000188284, Tile_htree , 5.74241e-06, Tile_addertree , 3.62557e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 6.22913e-08, Tile_total , 6.16726e-06, Chip_buffer , 1.33713e-08, Chip_htree , 5.98854e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 8.78612e-09, Chip_maxpool , 8.12613e-12, Chip_total , 6.01071e-06, Total dynamic , 3.68828e-05, Total leakage , 3.0693e-06, 
technode, 7, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 1.92196e-05, PE_bus , 1.11642e-06, PE_Addertree , 2.68942e-09, PE_buffer , 1.7971e-07, PE_total , 1.29882e-06, PE_leakage , 2.25115e-05, Tile_Leakage , 0.000205722, Tile_htree , 4.22553e-06, Tile_addertree , 3.21815e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 5.50609e-08, Tile_total , 4.6024e-06, Chip_buffer , 1.18192e-08, Chip_htree , 4.39895e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 7.76629e-09, Chip_maxpool , 5.00482e-12, Chip_total , 4.41854e-06, Total dynamic , 2.9538e-05, Total leakage , 3.27792e-06, 
technode, 5, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 1.58776e-05, PE_bus , 9.50332e-07, PE_Addertree , 2.19906e-09, PE_buffer , 1.45261e-07, PE_total , 1.09779e-06, PE_leakage , 2.15462e-05, Tile_Leakage , 0.000196986, Tile_htree , 3.67792e-06, Tile_addertree , 2.63141e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 4.45062e-08, Tile_total , 3.98557e-06, Chip_buffer , 9.55357e-09, Chip_htree , 3.78408e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 6.27755e-09, Chip_maxpool , 4.30716e-12, Chip_total , 3.79992e-06, Total dynamic , 2.47598e-05, Total leakage , 2.87923e-06, 
technode, 3, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 1.46047e-05, PE_bus , 9.14129e-07, PE_Addertree , 1.9304e-09, PE_buffer , 1.2869e-07, PE_total , 1.04475e-06, PE_leakage , 2.21462e-05, Tile_Leakage , 0.000202319, Tile_htree , 3.52019e-06, Tile_addertree , 2.30989e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 3.94291e-08, Tile_total , 3.79061e-06, Chip_buffer , 8.46374e-09, Chip_htree , 3.60018e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 5.56144e-09, Chip_maxpool , 3.57809e-12, Chip_total , 3.61421e-06, Total dynamic , 2.30533e-05, Total leakage , 2.95137e-06, 
technode, 2, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 1.31779e-05, PE_bus , 7.54656e-07, PE_Addertree , 1.21177e-09, PE_buffer , 6.03659e-08, PE_total , 8.16234e-07, PE_leakage , 1.93942e-05, Tile_Leakage , 0.000176622, Tile_htree , 3.05263e-06, Tile_addertree , 1.44998e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.84953e-08, Tile_total , 3.21613e-06, Chip_buffer , 3.97016e-09, Chip_htree , 3.09465e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 2.60875e-09, Chip_maxpool , 2.75594e-12, Chip_total , 3.10123e-06, Total dynamic , 2.03108e-05, Total leakage , 2.90437e-06, 
technode, 1, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 9.12318e-06, PE_bus , 6.01233e-07, PE_Addertree , 8.60549e-10, PE_buffer , 5.65177e-08, PE_total , 6.58611e-07, PE_leakage , 2.74446e-05, Tile_Leakage , 0.00024925, Tile_htree , 2.11983e-06, Tile_addertree , 1.0297e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.73163e-08, Tile_total , 2.24011e-06, Chip_buffer , 3.71707e-09, Chip_htree , 2.14091e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 2.44245e-09, Chip_maxpool , 1.94563e-12, Chip_total , 2.14708e-06, Total dynamic , 1.41686e-05, Total leakage , 4.11874e-06, 
technode, 22, toggleindex, 0, subarray_selfleakage , 5.70213e-08, PE_selfleakage , 9.12341e-07, Tile_selfleakage, 3.64937e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 7.21302e-05, PE_bus , 1.05428e-05, PE_Addertree , 1.25818e-08, PE_buffer , 3.8075e-07, PE_total , 1.09361e-05, PE_leakage , 0.000191015, Tile_Leakage , 0.00172592, Tile_htree , 4.27919e-05, Tile_addertree , 1.4143e-06, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.07331e-07, Tile_total , 4.43135e-05, Chip_buffer , 2.0317e-08, Chip_htree , 3.79288e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.33501e-08, Chip_maxpool , 1.55003e-11, Chip_total , 3.79624e-05, Total dynamic , 0.000165336, Total leakage , 3.96188e-05, 
technode, 14, toggleindex, 0, subarray_selfleakage , 8.11032e-08, PE_selfleakage , 1.29765e-06, Tile_selfleakage, 5.19061e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 3.50196e-05, PE_bus , 9.20363e-06, PE_Addertree , 4.79915e-09, PE_buffer , 3.04117e-07, PE_total , 9.51255e-06, PE_leakage , 0.000122904, Tile_Leakage , 0.00111037, Tile_htree , 4.73326e-05, Tile_addertree , 5.3942e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 8.57281e-08, Tile_total , 4.79577e-05, Chip_buffer , 1.62278e-08, Chip_htree , 4.21361e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.06631e-08, Chip_maxpool , 9.49709e-12, Chip_total , 4.2163e-05, Total dynamic , 0.00013465, Total leakage , 2.07577e-05, 
technode, 10, toggleindex, 0, subarray_selfleakage , 9.34467e-08, PE_selfleakage , 1.49515e-06, Tile_selfleakage, 5.98059e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 2.69042e-05, PE_bus , 5.25578e-06, PE_Addertree , 3.95684e-09, PE_buffer , 2.50584e-07, PE_total , 5.51032e-06, PE_leakage , 0.00013678, Tile_Leakage , 0.00123513, Tile_htree , 2.29482e-05, Tile_addertree , 4.44745e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 7.06378e-08, Tile_total , 2.34636e-05, Chip_buffer , 1.33713e-08, Chip_htree , 2.01931e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 8.78612e-09, Chip_maxpool , 8.12613e-12, Chip_total , 2.02153e-05, Total dynamic , 7.60914e-05, Total leakage , 2.71624e-05, 
technode, 7, toggleindex, 0, subarray_selfleakage , 8.91539e-08, PE_selfleakage , 1.42646e-06, Tile_selfleakage, 5.70585e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 2.41533e-05, PE_bus , 3.7068e-06, PE_Addertree , 3.5122e-09, PE_buffer , 2.21498e-07, PE_total , 3.93181e-06, PE_leakage , 0.000166883, Tile_Leakage , 0.00150614, Tile_htree , 1.54096e-05, Tile_addertree , 3.94764e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 6.24386e-08, Tile_total , 1.58668e-05, Chip_buffer , 1.18192e-08, Chip_htree , 1.35536e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 7.76629e-09, Chip_maxpool , 5.00482e-12, Chip_total , 1.35732e-05, Total dynamic , 5.75234e-05, Total leakage , 3.07362e-05, 
technode, 5, toggleindex, 0, subarray_selfleakage , 8.53826e-08, PE_selfleakage , 1.36612e-06, Tile_selfleakage, 5.46448e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 2.02398e-05, PE_bus , 3.02011e-06, PE_Addertree , 2.87185e-09, PE_buffer , 1.79039e-07, PE_total , 3.20202e-06, PE_leakage , 0.00015541, Tile_Leakage , 0.00140283, Tile_htree , 1.25407e-05, Tile_addertree , 3.22791e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 5.04696e-08, Tile_total , 1.2914e-05, Chip_buffer , 9.55357e-09, Chip_htree , 1.10064e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 6.27755e-09, Chip_maxpool , 4.30716e-12, Chip_total , 1.10222e-05, Total dynamic , 4.73766e-05, Total leakage , 2.37236e-05, 
technode, 3, toggleindex, 0, subarray_selfleakage , 8.86929e-08, PE_selfleakage , 1.41909e-06, Tile_selfleakage, 5.67635e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 1.83705e-05, PE_bus , 2.68784e-06, PE_Addertree , 2.52095e-09, PE_buffer , 1.58615e-07, PE_total , 2.84898e-06, PE_leakage , 0.000172123, Tile_Leakage , 0.0015532, Tile_htree , 1.11829e-05, Tile_addertree , 2.83348e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 4.47123e-08, Tile_total , 1.15109e-05, Chip_buffer , 8.46374e-09, Chip_htree , 9.81302e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 5.56144e-09, Chip_maxpool , 3.57809e-12, Chip_total , 9.82705e-06, Total dynamic , 4.25562e-05, Total leakage , 1.95082e-05, 
technode, 2, toggleindex, 0, subarray_selfleakage , 5.6362e-08, PE_selfleakage , 9.01793e-07, Tile_selfleakage, 3.60717e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 9.73311e-06, PE_bus , 1.90018e-06, PE_Addertree , 1.58247e-09, PE_buffer , 7.44028e-08, PE_total , 1.97616e-06, PE_leakage , 0.000123023, Tile_Leakage , 0.00110997, Tile_htree , 7.90777e-06, Tile_addertree , 1.77864e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 2.09736e-08, Tile_total , 8.10661e-06, Chip_buffer , 3.97016e-09, Chip_htree , 6.95496e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 2.60875e-09, Chip_maxpool , 2.75594e-12, Chip_total , 6.96154e-06, Total dynamic , 2.67766e-05, Total leakage , 1.06561e-05, 
technode, 1, toggleindex, 0, subarray_selfleakage , 9.21516e-08, PE_selfleakage , 1.47442e-06, Tile_selfleakage, 5.8977e-06, totalsubarrayoperations , 817148, Macrototaldynamic , 7.12254e-06, PE_bus , 1.39264e-06, PE_Addertree , 1.12379e-09, PE_buffer , 6.96598e-08, PE_total , 1.46342e-06, PE_leakage , 0.000166622, Tile_Leakage , 0.00150272, Tile_htree , 5.55044e-06, Tile_addertree , 1.26309e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.96366e-08, Tile_total , 5.69639e-06, Chip_buffer , 3.71707e-09, Chip_htree , 4.8717e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 2.44245e-09, Chip_maxpool , 1.94563e-12, Chip_total , 4.87786e-06, Total dynamic , 1.91596e-05, Total leakage , 1.43884e-05, 
technode, 22, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 817148, Macrototaldynamic , 6.53491e-05, PE_bus , 4.9384e-06, PE_Addertree , 9.63298e-09, PE_buffer , 3.08918e-07, PE_total , 5.25695e-06, PE_leakage , 2.4421e-06, Tile_Leakage , 2.73821e-05, Tile_htree , 1.2336e-05, Tile_addertree , 1.15286e-06, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 9.46485e-08, Tile_total , 1.35835e-05, Chip_buffer , 2.0317e-08, Chip_htree , 1.30552e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.33501e-08, Chip_maxpool , 1.55003e-11, Chip_total , 1.30889e-05, Total dynamic , 9.72736e-05, Total leakage , 4.85883e-07, 
