22, 0, 9.63311e+07, 2.8989e+07, 2.42471e+07, 2.26813e+07, 8.28446e+06, 1.21292e+07, 1.33412, 859393, 6.86223e+07, 1.14677e+06, 1334.39, 535833, 423883, 315506, 2.86789e+07, 7925.37, 0, 851468, 3.07373e+07, 3.98307e+06, 3.39019e+07, 78.7209, 6.39089, 1163.61, 0.0663429, 28, 10, 28, 10, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
14, 0, 6.01168e+07, 1.36881e+07, 1.45129e+07, 1.53141e+07, 7.02075e+06, 9.58103e+06, 1.23457, 795263, 5.13442e+07, 2.94267e+06, 3700.25, 495848, 338568, 291962, 2.05437e+07, 7333.96, 0, 787929, 2.41245e+07, 2.13549e+06, 2.50843e+07, 101.171, 6.90625, 1257.45, 0.11488, 30.8, 10.6, 30.8, 10.6, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
10, 0, 3.02047e+07, 8.55638e+06, 6.39416e+06, 7.45088e+06, 3.21589e+06, 4.58735e+06, 1.15857, 746310, 3.68828e+07, 3.0693e+06, 4112.64, 465325, 278971, 273990, 1.31154e+07, 6882.51, 0, 739427, 1.84502e+07, 1.76008e+06, 1.66726e+07, 137.472, 7.35926, 1339.93, 0.243646, 31.25, 12.8, 31.25, 12.8, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
7, 0, 2.20865e+07, 5.77408e+06, 4.68843e+06, 6.62155e+06, 2.10825e+06, 2.89418e+06, 1.13047, 728204, 2.9538e+07, 3.27792e+06, 4501.38, 454036, 246590, 267343, 9.74089e+06, 6715.53, 0, 721488, 1.52676e+07, 1.55874e+06, 1.27116e+07, 167.367, 7.54224, 1373.24, 0.341486, 34.43, 16, 34.43, 16, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
5, 0, 1.61836e+07, 4.4921e+06, 3.05227e+06, 5.17922e+06, 1.42367e+06, 2.03635e+06, 1.03777, 668495, 2.47598e+07, 2.87923e+06, 4307.03, 416808, 199321, 245422, 8.41233e+06, 6164.9, 0, 662330, 1.27033e+07, 1.26649e+06, 1.079e+07, 198.715, 8.21589, 1495.9, 0.507668, 43.75, 19.2, 43.75, 19.2, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
3, 0, 1.38307e+07, 3.94239e+06, 2.46543e+06, 4.89161e+06, 1.06942e+06, 1.46183e+06, 1.03225, 664939, 2.30533e+07, 2.95137e+06, 4438.55, 414590, 176583, 244116, 8.0345e+06, 6132.1, 0, 658807, 1.14085e+07, 1.11739e+06, 1.05274e+07, 211.204, 8.25983, 1503.9, 0.597211, 68.26, 30, 68.26, 30, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
2, 0, 1.40618e+07, 4.31242e+06, 2.3296e+06, 5.23263e+06, 736558, 1.45059e+06, 1.02343, 759611, 2.03108e+07, 2.90437e+06, 3823.5, 411048, 82831.4, 342384, 6.90194e+06, 6079.71, 0, 753531, 1.14816e+07, 603891, 8.22536e+06, 236.581, 7.23039, 1316.46, 0.514187, 120, 42, 120, 42, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
1, 0, 9.17665e+06, 2.46424e+06, 1.42487e+06, 3.77246e+06, 480505, 1.03457e+06, 0.961687, 760932, 1.41686e+07, 4.11874e+06, 5412.76, 386248, 77551.1, 368877, 4.86197e+06, 5712.9, 0, 755219, 7.69845e+06, 494064, 5.97604e+06, 300.333, 7.21784, 1314.18, 0.786544, 144, 80, 144, 80, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
22, 0, 6.95678e+08, 8.26187e+07, 7.25031e+07, 0, 5.20562e+08, 1.9994e+07, 1.14499, 1.18459e+06, 1.65336e+08, 3.96188e+07, 33445.2, 460061, 508398, 723569, 9.12634e+07, 850.227, 0, 1.18374e+06, 0, 6.52712e+07, 9.29915e+07, 26.7975, 4.63644, 844.174, 0.00666464, 28, 10, 28.5, 28, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 1, 6, 4096, 
14, 0, 6.19589e+08, 7.20719e+07, 7.20947e+07, 0, 4.54109e+08, 2.13133e+07, 1.12446, 945876, 1.3465e+08, 2.07577e+07, 21945.4, 451811, 406073, 493122, 9.86723e+07, 834.981, 0, 945041, 0, 2.54563e+07, 1.02786e+08, 35.3411, 5.80656, 1057.22, 0.00937163, 30.8, 10.6, 41.7825, 41.142, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 1, 6, 4096, 
10, 0, 2.80709e+08, 3.38833e+07, 2.33067e+07, 0, 2.13491e+08, 1.0028e+07, 0.988102, 1.11916e+06, 7.60914e+07, 2.71624e+07, 24270.2, 397022, 334593, 721313, 4.83971e+07, 733.727, 0, 1.11843e+06, 0, 2.10058e+07, 4.97058e+07, 53.1921, 4.90749, 893.524, 0.0174825, 31.25, 12.8, 48, 33, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 1, 6, 4096, 
7, 0, 1.83978e+08, 2.19465e+07, 1.49927e+07, 0, 1.3828e+08, 8.75831e+06, 0.879628, 1.03943e+06, 5.75234e+07, 3.07362e+07, 29570.3, 353437, 295756, 685254, 3.267e+07, 653.179, 0, 1.03878e+06, 0, 1.82071e+07, 3.3715e+07, 62.2288, 5.28394, 962.066, 0.0287206, 34.43, 16, 61.071, 34.285, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 1, 6, 4096, 
5, 0, 1.2217e+08, 1.47277e+07, 9.16274e+06, 0, 9.27957e+07, 5.48402e+06, 0.756216, 856521, 4.73766e+07, 2.37236e+07, 27697.6, 303850, 239062, 552037, 2.65672e+07, 561.537, 0, 855960, 0, 1.5428e+07, 2.75289e+07, 77.2472, 6.41232, 1167.51, 0.0524868, 43.75, 19.2, 76.5, 36, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 1, 6, 4096, 
3, 0, 9.29784e+07, 1.10891e+07, 6.91281e+06, 0, 6.98697e+07, 5.1068e+06, 0.64767, 640072, 4.25562e+07, 1.95082e+07, 30478.1, 260236, 211791, 379292, 2.36837e+07, 480.936, 0, 639591, 0, 1.33457e+07, 2.43713e+07, 88.4933, 8.58074, 1562.33, 0.0922874, 68.26, 30, 120, 48, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 1, 6, 4096, 
2, 0, 6.61461e+07, 7.68149e+06, 5.35121e+06, 0, 4.83993e+07, 4.71404e+06, 0.433791, 491329, 2.67766e+07, 1.06561e+07, 21688.4, 174298, 99346.5, 316667, 1.67629e+07, 322.117, 0, 491007, 0, 5.76341e+06, 1.71166e+07, 146.724, 11.1784, 2035.29, 0.168996, 120, 42, 157.5, 57, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 1, 6, 4096, 
1, 0, 4.43165e+07, 5.13383e+06, 3.31082e+06, 0, 3.23471e+07, 3.52474e+06, 0.397099, 488708, 1.91596e+07, 1.43884e+07, 29441.7, 159555, 93013.4, 328819, 1.18148e+07, 294.871, 0, 488413, 0, 4.08881e+06, 1.21297e+07, 163.714, 11.2384, 2046.21, 0.253594, 144, 80, 300, 80, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 1, 6, 4096, 
22, 0, 9.4237e+07, 4.96955e+06, 2.39281e+07, 9.20321e+06, 7.74091e+06, 4.83953e+07, 1.58211, 941568, 9.72736e+07, 485883, 516.036, 635432, 423883, 296584, 3.03296e+07, 9398.52, 0, 932169, 4.6646e+07, 3.98307e+06, 4.66445e+07, 56.1816, 5.83313, 1062.06, 0.0618985, 12, 4, 0, 0, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 1, 6, 4096, 
