technode, 22, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 646432, Average macro dynamic energy, 1.85659e-10, 1 Macro delay, 4.2692e-08, 1 Macro area (mm^2), 0.0205822, TOPS, 0.767544, TOPS/W, 176.495, TOPS/mm^2, 37.2916, FOM, 6581.78, Total macro leakage, 4.22985e-07, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 9.65996e-08, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 4.18004e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 3.67858e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 2.66027e-14, DC_ADC_max, 2.79006e-14, Switching_ADC, 5.89802e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 1.47597e-10, WL_delay, 1.3763e-10, mux_delay, 1.3763e-10, row_delay, 2.03196e-11, precharge_delay, 6.69601e-11, col_delay, 2.01368e-10, ADC_delay, 0, multisense_delay, 9.81937e-10, clock_period, 1.33412e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 9.76974e+06, param->Metal1_unitwireresis, 9.76974e+06, columncap, 1.92007e-14, rowunitcap, 1.232e-16, caprow_debug, 3.95918e-14, numrow_debug, 256, reference_energy_peri, 2.86051e-14, resaccess, 86357.3, param->lengthRow, 0.000157696, TOPS, 0.767544, TOPS/W, 176.495, TOPS/mm^2, 37.2916, FOM, 6581.78, buffersizeratio, 5, switchsizeratio_DCIM, 0.06, sectionresistance, 1540.65, switchmatrix_finnum, 31.6681, finfetonresistance, 77.0324, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 110, sizingfactor_MUX_Last, 110, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 14, capratio, 0.10124. Power Density (W/mm2), 136584, 
technode, 14, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 646432, Average macro dynamic energy, 1.34588e-10, 1 Macro delay, 3.95062e-08, 1 Macro area (mm^2), 0.0129033, TOPS, 0.829439, TOPS/W, 243.468, TOPS/mm^2, 64.2813, FOM, 15650.4, Total macro leakage, 1.17304e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 1.65834e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 2.64997e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 2.62454e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 1.44657e-15, DC_ADC_max, 1.45925e-15, Switching_ADC, 5.50663e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 1.50307e-10, WL_delay, 1.26867e-10, mux_delay, 1.26867e-10, row_delay, 1.49422e-11, precharge_delay, 7.72074e-11, col_delay, 5.54476e-11, ADC_delay, 0, multisense_delay, 8.80188e-10, clock_period, 1.23457e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 1.58691e+07, param->Metal1_unitwireresis, 1.06838e+07, columncap, 1.39955e-14, rowunitcap, 8.624e-17, caprow_debug, 4.86543e-14, numrow_debug, 256, reference_energy_peri, 3.11388e-14, resaccess, 30542.1, param->lengthRow, 0.000110387, TOPS, 0.829439, TOPS/W, 243.468, TOPS/mm^2, 64.2813, FOM, 15650.4, buffersizeratio, 10, switchsizeratio_DCIM, 0.005, sectionresistance, 1179.35, switchmatrix_finnum, 25, finfetonresistance, 292.269, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 130, sizingfactor_MUX_Last, 130, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.228259. Power Density (W/mm2), 170673, 
technode, 10, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 646432, Average macro dynamic energy, 1.04438e-10, 1 Macro delay, 3.70744e-08, 1 Macro area (mm^2), 0.00673407, TOPS, 0.883845, TOPS/W, 313.756, TOPS/mm^2, 131.25, FOM, 41180.4, Total macro leakage, 1.30754e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 1.86277e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 2.18383e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 2.01851e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 1.44503e-15, DC_ADC_max, 1.4579e-15, Switching_ADC, 4.30939e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 1.23528e-10, WL_delay, 1.17969e-10, mux_delay, 1.17969e-10, row_delay, 1.15509e-11, precharge_delay, 6.82735e-11, col_delay, 4.99136e-11, ADC_delay, 0, multisense_delay, 8.48803e-10, clock_period, 1.15857e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 4.08058e+07, param->Metal1_unitwireresis, 1.58691e+07, columncap, 1.33837e-14, rowunitcap, 6.25e-17, caprow_debug, 4.09725e-14, numrow_debug, 256, reference_energy_peri, 2.30471e-14, resaccess, 26692.1, param->lengthRow, 8e-05, TOPS, 0.883845, TOPS/W, 313.756, TOPS/mm^2, 131.25, FOM, 41180.4, buffersizeratio, 10, switchsizeratio_DCIM, 0.02, sectionresistance, 1269.53, switchmatrix_finnum, 21, finfetonresistance, 304.08, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 80, sizingfactor_MUX_Last, 80, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.224313. Power Density (W/mm2), 270414, 
technode, 7, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 646432, Average macro dynamic energy, 8.73084e-11, 1 Macro delay, 3.61749e-08, 1 Macro area (mm^2), 0.00515278, TOPS, 0.905821, TOPS/W, 375.313, TOPS/mm^2, 175.793, FOM, 65977.3, Total macro leakage, 1.43008e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 2.06815e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 1.93231e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 1.67492e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 1.19934e-15, DC_ADC_max, 1.20934e-15, Switching_ADC, 3.64391e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 1.13557e-10, WL_delay, 1.24101e-10, mux_delay, 1.24101e-10, row_delay, 1.05757e-11, precharge_delay, 6.90151e-11, col_delay, 4.10514e-11, ADC_delay, 0, multisense_delay, 8.23793e-10, clock_period, 1.13047e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 5.2125e+07, param->Metal1_unitwireresis, 2.43152e+07, columncap, 1.14278e-14, rowunitcap, 4.8202e-17, caprow_debug, 3.80669e-14, numrow_debug, 256, reference_energy_peri, 1.86528e-14, resaccess, 23861.3, param->lengthRow, 6.16986e-05, TOPS, 0.905821, TOPS/W, 375.313, TOPS/mm^2, 175.793, FOM, 65977.3, buffersizeratio, 10, switchsizeratio_DCIM, 0.04, sectionresistance, 1500.21, switchmatrix_finnum, 16, finfetonresistance, 363.74, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 60, sizingfactor_MUX_Last, 60, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.270239. Power Density (W/mm2), 302782, 
technode, 5, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 646432, Average macro dynamic energy, 7.18944e-11, 1 Macro delay, 3.32088e-08, 1 Macro area (mm^2), 0.00385909, TOPS, 0.986727, TOPS/W, 455.78, TOPS/mm^2, 255.689, FOM, 116538, Total macro leakage, 1.36876e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 1.97445e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 1.56622e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 1.3893e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 7.97884e-16, DC_ADC_max, 8.03017e-16, Switching_ADC, 3.0147e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 9.28241e-11, WL_delay, 1.1117e-10, mux_delay, 1.1117e-10, row_delay, 2.36358e-11, precharge_delay, 5.21932e-11, col_delay, 3.73823e-11, ADC_delay, 0, multisense_delay, 7.81587e-10, clock_period, 1.03777e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 1.10667e+08, param->Metal1_unitwireresis, 8.61592e+07, columncap, 1.02298e-14, rowunitcap, 4.375e-17, caprow_debug, 3.21559e-14, numrow_debug, 256, reference_energy_peri, 1.57564e-14, resaccess, 23972.5, param->lengthRow, 5.6e-05, TOPS, 0.986727, TOPS/W, 455.78, TOPS/mm^2, 255.689, FOM, 116538, buffersizeratio, 10, switchsizeratio_DCIM, 0.015, sectionresistance, 4824.91, switchmatrix_finnum, 16, finfetonresistance, 356.733, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 50, sizingfactor_MUX_Last, 50, switchmatrixsizeratio_ACIM, 0.06, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.246094. Power Density (W/mm2), 362644, 
technode, 3, toggleindex, 0, mem cell type, 1, buffernumber, 0, toggle index, 0, Totalsubarray operations, 646432, Average macro dynamic energy, 6.57519e-11, 1 Macro delay, 3.30321e-08, 1 Macro area (mm^2), 0.00332799, TOPS, 0.992004, TOPS/W, 498.359, TOPS/mm^2, 298.079, FOM, 148550, Total macro leakage, 1.40685e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 2.03878e-07, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 1.38452e-12, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 1.24636e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 6.75818e-16, DC_ADC_max, 6.79851e-16, Switching_ADC, 2.69596e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 0, encoder_delay, 7.93349e-11, WL_delay, 1.48975e-10, mux_delay, 1.48975e-10, row_delay, 2.19041e-11, precharge_delay, 6.39455e-11, col_delay, 3.3091e-11, ADC_delay, 0, multisense_delay, 7.39999e-10, clock_period, 1.03225e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 2.01389e+08, param->Metal1_unitwireresis, 9.72656e+07, columncap, 9.19296e-15, rowunitcap, 4.0956e-17, caprow_debug, 2.90632e-14, numrow_debug, 256, reference_energy_peri, 1.4241e-14, resaccess, 23121.7, param->lengthRow, 5.24237e-05, TOPS, 0.992004, TOPS/W, 498.359, TOPS/mm^2, 298.079, FOM, 148550, buffersizeratio, 10, switchsizeratio_DCIM, 0.03, sectionresistance, 5099.02, switchmatrix_finnum, 29, finfetonresistance, 180.075, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 25, sizingfactor_MUX_Last, 25, switchmatrixsizeratio_ACIM, 0.03, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.242807. Power Density (W/mm2), 386645, 
technode, 2, toggleindex, 0, mem cell type, 1, buffernumber, 3, toggle index, 0, Totalsubarray operations, 646432, Average macro dynamic energy, 5.72269e-11, 1 Macro delay, 3.27499e-08, 1 Macro area (mm^2), 0.00369776, TOPS, 1.00055, TOPS/W, 572.597, TOPS/mm^2, 270.584, FOM, 154936, Total macro leakage, 1.22156e-06, Total DCIM (NOR+Latch) array leakage, 0, SRAM_peri_leakage, 0, ShiftAdd_leakage, 0, Adder_leakage, 0, Buffer_leakage, 0, Switchmatrix_leakage, 0, Repeater_leakage, 0, Bus_leakage, 7.9463e-08, readDynamicEnergyBuffer, 0, readDynamicEnergyShiftAdd, 0, readDynamicEnergyAccum, 7.02003e-13, readDynamicEnergySwitchmatrix, 0, readDynamicEnergyAdder, 0, readDynamicEnergyInterconnect, 0, readDynamicEnergyADC, 1.21731e-11, readDynamicEnergyDFFinShiftAdd, 0, DCIM_energy_recalculated, 1, DC_ADC_min, 9.46829e-16, DC_ADC_max, 9.53647e-16, Switching_ADC, 2.0028e-14, NOR_delay, 0, addertree_delay, 0, addedbufferlatency, 7.94853e-11, encoder_delay, 8.45546e-11, WL_delay, 1.50898e-10, mux_delay, 1.50898e-10, row_delay, 9.46979e-11, precharge_delay, 5.73667e-11, col_delay, 2.7963e-11, ADC_delay, 0, multisense_delay, 7.30614e-10, clock_period, 1.02343e-09, param->capNORInput, 0, param->capNOROutput, 0, param->DCIMline_R2, 0, param->DCIMline_R1, 0, param->DCIMline_C2, 0, param->DCIMline_C1, 0, param->resRow_DCIM, 0, param->resCol_DCIM, 0, param->Metal0_unitwireresis, 3.305e+08, param->Metal1_unitwireresis, 2.49905e+08, columncap, 8.25088e-15, rowunitcap, 1.2774e-16, caprow_debug, 3.27014e-14, numrow_debug, 256, reference_energy_peri, 1.38164e-14, resaccess, 19386.8, param->lengthRow, 6.144e-05, TOPS, 1.00055, TOPS/W, 572.597, TOPS/mm^2, 270.584, FOM, 154936, buffersizeratio, 10, switchsizeratio_DCIM, 0.03, sectionresistance, 3838.55, switchmatrix_finnum, 11, finfetonresistance, 445.06, repeaterfinnum, 10, repeaterdriveres, 1938.68, sizingfactor_MUX, 25, sizingfactor_MUX_Last, 25, switchmatrixsizeratio_ACIM, 0.1, newswitchmatrixsizeratio_ACIM, 1, capratio, 0.149078. Power Density (W/mm2), 305475, 
technode, 22, toggleindex, 0, mem cell type, 4, buffernumber, 0, toggle index, 0, Totalsubarray operations, 646432, Average macro dynamic energy, 3.06094e-10, 1 Macro delay, 5.72495e-09, 1 Macro area (mm^2), 0.190279, TOPS, 5.72371, TOPS/W, 107.052, TOPS/mm^2, 30.0806, FOM, 3220.2, Total macro leakage, 1.19255e-05, Total DCIM (NOR+Latch) array leakage, 7.92986e-07, SRAM_peri_leakage, 5.70213e-08, ShiftAdd_leakage, 1.47495e-07, Adder_leakage, 1.08836e-05, Buffer_leakage, 2.66482e-08, Switchmatrix_leakage, 1.77654e-08, Repeater_leakage, 0, Bus_leakage, 1.01041e-07, readDynamicEnergyBuffer, 5.41805e-13, readDynamicEnergyShiftAdd, 3.38695e-12, readDynamicEnergyAccum, 7.11003e-11, readDynamicEnergySwitchmatrix, 1.09896e-12, readDynamicEnergyAdder, 6.71716e-11, readDynamicEnergyInterconnect, 4.32411e-12, readDynamicEnergyADC, 0, readDynamicEnergyDFFinShiftAdd, 9.03008e-13, DCIM_energy_recalculated, 1, DC_ADC_min, 0, DC_ADC_max, 0, Switching_ADC, 0, NOR_delay, 7.37137e-12, addertree_delay, 1.08867e-09, addedbufferlatency, 0, encoder_delay, 0, WL_delay, 4.89464e-11, mux_delay, 0, row_delay, 0, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, clock_period, 1.14499e-09, param->capNORInput, 2.2892e-16, param->capNOROutput, 1.16131e-16, param->DCIMline_R2, 153.463, param->DCIMline_R1, 24.5025, param->DCIMline_C2, 3.1416e-15, param->DCIMline_C1, 1.41728e-15, param->resRow_DCIM, 9.76974e+06, param->resCol_DCIM, 9.76974e+06, param->Metal0_unitwireresis, 9.76974e+06, param->Metal1_unitwireresis, 9.76974e+06, columncap, 0, rowunitcap, 0, caprow_debug, 0, numrow_debug, 0, reference_energy_peri, 0, resaccess, 0, param->lengthRow, 0.000160512, TOPS, 5.72371, TOPS/W, 107.052, TOPS/mm^2, 30.0806, FOM, 3220.2, buffersizeratio, 5, switchsizeratio_DCIM, 0.06, sectionresistance, 2323.19, switchmatrix_finnum, 17.5009, finfetonresistance, 139.391, repeaterfinnum, 0, repeaterdriveres, 0, sizingfactor_MUX, 110, sizingfactor_MUX_Last, 110, switchmatrixsizeratio_ACIM, 0.2, newswitchmatrixsizeratio_ACIM, 14, capratio, -nan. Power Density (W/mm2), 181641, 
